team left,team right,campeonatos,urls
BESTIA,aYa,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
Sharks,KRÜ,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
FS,Fluxo,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
GH,ODDIK,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
Yawara,UNO,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
aYa,BESTIA,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
Fluxo,FS,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
ODDIK,GH,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
KRÜ,Sharks,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
M80,MongolZ,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Liquid,EF,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
G2,Imperial,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
FaZe,VP,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Astralis,Vitality,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Falcons,MOUZ,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Spirit,Huns,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Sashi,Aurora,ECL Season 49: Europe,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/Europe
Nemiga,Betera,ECL Season 49: Europe,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/Europe
Eclot,Aurora,European Pro League S23,https://liquipedia.net/counterstrike/European_Pro_League/Season_23
ECSTATIC,Aurora,PGL Astana 2025: EU OQ #2,https://liquipedia.net/counterstrike/PGL/2025/Astana/Europe/Open/2
SNGRD,BIG,DACH CS Masters Season 3,https://liquipedia.net/counterstrike/DACH_CS_Masters/Season_3
BIG,XP.NXT,DACH CS Masters Season 3,https://liquipedia.net/counterstrike/DACH_CS_Masters/Season_3
LEON,Aurora,PGL Astana 2025: EU OQ #2,https://liquipedia.net/counterstrike/PGL/2025/Astana/Europe/Open/2
Eclot,SINNERS,Tipsport Cup Spring 2025,https://liquipedia.net/counterstrike/Tipsport_Cup/2025/Spring/Online_Stage
Aurora,Hesta,PGL Astana 2025: EU OQ #2,https://liquipedia.net/counterstrike/PGL/2025/Astana/Europe/Open/2
kONO.ECF,Aurora,European Pro League S23,https://liquipedia.net/counterstrike/European_Pro_League/Season_23
GUN5,Aurora,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
Aurora,LFO,PGL Astana 2025: EU OQ #2,https://liquipedia.net/counterstrike/PGL/2025/Astana/Europe/Open/2
Vitality,MOUZ,ESL Pro League S21,https://liquipedia.net/counterstrike/ESL/Pro_League/Season_21
Eclot,ZennoX,Tipsport Cup Spring 2025,https://liquipedia.net/counterstrike/Tipsport_Cup/2025/Spring/Online_Stage
kONO.ECF,Eclot,European Pro League S23,https://liquipedia.net/counterstrike/European_Pro_League/Season_23
ENCE,500,CCT EU Series #20,https://liquipedia.net/counterstrike/CCT/Season_2/Europe/Series_20
Aurora,Leo,European Pro League S23,https://liquipedia.net/counterstrike/European_Pro_League/Season_23
Vitality,MongolZ,ESL Pro League S21,https://liquipedia.net/counterstrike/ESL/Pro_League/Season_21
